,,,purchased_price,produced_price
Ashanti,Oil (palm),Heap,0.5,
Ashanti,Oil (palm),Litres,4.0,2.0
Ashanti,Oil (palm),Millilitre,1.75,
Ashanti,Oil (palm),Mini bag,4.0,
Ashanti,Oil (palm),Other unit,1.0,
Ashanti,Oil (palm),Piece,2.5,
Ashanti,Oil (palm),Satchet,3.0,
Ashanti,Oil (palm),Single,1.0,
Ashanti,Oil (palm),Tin,2.0,
Ashanti,Oil (vegetable),Balls,1.5,
Ashanti,Oil (vegetable),Beer bottle,6.0,
Ashanti,Oil (vegetable),Bowl,2.0,
Ashanti,Oil (vegetable),Fanta bottle,3.0,
Ashanti,Oil (vegetable),Gram,1.5,
Ashanti,Oil (vegetable),Heap,1.0,
Ashanti,Oil (vegetable),Kilogram,16.0,
Ashanti,Oil (vegetable),Litres,8.0,
Ashanti,Oil (vegetable),Loaf,6.5,
Ashanti,Oil (vegetable),Margarin tin,1.0,
Ashanti,Oil (vegetable),Millilitre,2.0,
Ashanti,Oil (vegetable),Other unit,1.0,
Ashanti,Oil (vegetable),Packet,1.0,
Ashanti,Oil (vegetable),Satchet,1.75,
Ashanti,Oil (vegetable),Single,2.0,
Ashanti,Oil (vegetable),Tin,1.5,
Ashanti,Oil (vegetable),Tot (25mls),1.0,
Ashanti,Okra,American Tin (Olonka),6.0,
Ashanti,Okra,Balls,1.0416666666666665,
Ashanti,Okra,Bowl,2.0,2.0
Ashanti,Okra,Bucket,10.0,
Ashanti,Okra,Bunch,0.5,
Ashanti,Okra,Bundle,1.5,
Ashanti,Okra,Fingers,0.3333333333333333,
Ashanti,Okra,Gram,0.20714285714285713,
Ashanti,Okra,Heap,1.0,1.0
Ashanti,Okra,Litres,0.4444444444444444,
Ashanti,Okra,Margarin tin,2.0,
Ashanti,Okra,Other unit,2.0,
Ashanti,Okra,Rolls,1.0,
Ashanti,Okra,Single,0.0898989898989899,
Ashanti,Okra,Tubers,3.0,
Ashanti,Onion,American Tin (Olonka),10.0,
Ashanti,Onion,Balls,0.25,2.0
Ashanti,Onion,Basket,5.0,
Ashanti,Onion,Bowl,3.0,7.5
Ashanti,Onion,Bundle,3.0,
