spec,pair_group,basis,unit_scope,item_scope,farmgate_scope,country,t,geo_rung,item,n_countries,n_cells,n_items,n_geos,median_gap,ratio,iqr_gap,share_abs_gap_gt_log1p5,share_exact_ties,claim_30_50,coef_within,se_within,coef_between,se_between,r2_fe,resid_sd,n_geo_singleton,n_eff_cells,loo_min,loo_max,loo_worst_item
farmgate_by_class,market_vs_own_consumption,native,sized,pulses & oilseeds,all,POOLED,,,,2.0,146,8,109.0,0.1823215567939549,1.2000000000000004,0.2876820724517817,0.18493150684931506,0.1643835616438356,False,0.20366342608729504,0.03815931088271652,-0.19304574631253532,0.0992143613347164,0.9590595431786272,0.5634335523223456,84.0,62.0,-0.36331108624566333,-0.12691659063706742,Uganda|Ground Nuts
farmgate_by_class,market_vs_own_consumption,native,sized,pulses & oilseeds,same_good,POOLED,,,,2.0,96,5,93.0,0.1823215766621693,1.2000000238418578,0.3566749439387324,0.23958333333333334,0.13541666666666666,False,,,,,,,90.0,6.0,,,
farmgate_by_class,market_vs_own_consumption,native,sized,roots & tubers,all,POOLED,,,,2.0,113,7,74.0,-0.2231435513142097,0.8,1.0346956426495961,0.49557522123893805,0.09734513274336283,False,0.7274367093017331,0.2826787757149466,0.560516568927798,0.2656271571600634,0.8106216688907797,0.8813132387459245,49.0,64.0,0.3465834830089864,0.8303748958214379,GhanaLSS|Cassava (fresh)
farmgate_by_class,market_vs_own_consumption,native,sized,roots & tubers,same_good,POOLED,,,,1.0,72,5,38.0,-0.5603825381663223,0.570990596369682,1.1832557733531426,0.6805555555555556,0.0,False,1.1033316647749658,0.3115068450557924,0.560516568927798,0.26562715716006347,0.7674564997986616,0.6855927049285417,18.0,54.0,0.3465834830089865,0.8303748958214378,GhanaLSS|Cassava (fresh)
farmgate_by_class,market_vs_own_consumption,native,sized,staple grains & flours,all,POOLED,,,,2.0,141,7,99.0,0.154150679827258,1.1666666666666663,0.2554128118829961,0.12056737588652482,0.2695035460992908,False,0.023252407806503315,0.03935899630019615,0.011690183827823298,0.04573680692105281,0.966336700084872,0.2868316720593246,75.0,66.0,-0.26633372782180215,0.07369743970583455,Uganda|Sorghum
farmgate_by_class,market_vs_own_consumption,native,sized,staple grains & flours,same_good,POOLED,,,,2.0,27,3,21.0,0.0,1.0,0.24714818196986987,0.18518518518518517,0.4074074074074074,False,-0.047076122739664876,0.04533191421403124,0.02352539806398872,27433154237145.164,0.975632586213072,0.3280441665879643,15.0,12.0,0.023666690094190417,0.03131967678661223,GhanaLSS|Maize (cob)
farmgate_pooled,own_consumption_vs_crop_sale,native,sized,all,all,POOLED,,,,1.0,106,9,70.0,0.3273333299959411,1.3872638167626066,0.5198044240018775,0.4528301886792453,0.14150943396226415,True,-0.8871329811319805,0.38519293722956616,-0.2509607313819056,0.1476411397418812,0.8950175592441517,1.3127017254736097,47.0,59.0,,,
farmgate_pooled,own_consumption_vs_crop_sale,native,all,all,all,POOLED,,,,1.0,226,14,103.0,0.11750090731143364,1.124682650380698,0.4515362227407886,0.3230088495575221,0.17699115044247787,False,-0.4344017666038978,0.09138836847478886,-0.18428660083157125,0.052865399593637674,0.7772439446807079,0.4222916884242504,57.0,169.0,,,
farmgate_pooled,own_consumption_vs_crop_sale,native,sized,all,same_good,POOLED,,,,1.0,52,3,51.0,0.2231435513142097,1.25,0.34157498593624464,0.23076923076923078,0.25,False,,,,,,,50.0,2.0,,,
farmgate_pooled,own_consumption_vs_crop_sale,native,sized,all,processed,POOLED,,,,1.0,54,6,38.0,0.6931471805599454,2.0,0.7174966112148813,0.6666666666666666,0.037037037037037035,False,,,-0.14905296871506318,0.1921752119711696,,,28.0,26.0,,,
farmgate_pooled,own_consumption_vs_crop_sale,kg,sized,all,all,POOLED,,,,0.0,0,0,,,,,,,,,,,,,,,,,,
farmgate_pooled,own_consumption_vs_crop_sale,kg,all,all,all,POOLED,,,,0.0,0,0,,,,,,,,,,,,,,,,,,
farmgate_pooled,own_consumption_vs_crop_sale,kg,sized,all,same_good,POOLED,,,,0.0,0,0,,,,,,,,,,,,,,,,,,
farmgate_pooled,own_consumption_vs_crop_sale,kg,sized,all,processed,POOLED,,,,0.0,0,0,,,,,,,,,,,,,,,,,,
