country,wave,table,subdf,mechanism,source_column,raw_value,raw_type,count,config_maps_to,how,declaration
Ethiopia,2018-19,cluster_features,df_main,inline_dict,saq14,URBAN,str,3655,Urban,exact-or-str-match,"['saq14', {'mapping': {'RURAL': 'Rural', 'Rural': 'Rural', 'rural': 'Rural', 'URBAN': 'Urban', 'Urban': 'Urban', 'urban': 'Urban'}}]"
Ethiopia,2018-19,cluster_features,df_main,inline_dict,saq14,RURAL,str,3115,Rural,exact-or-str-match,"['saq14', {'mapping': {'RURAL': 'Rural', 'Rural': 'Rural', 'rural': 'Rural', 'URBAN': 'Urban', 'Urban': 'Urban', 'urban': 'Urban'}}]"
Ethiopia,2018-19,sample,,script:.map(dict),saq14,URBAN,str,3655,(script logic),script-path,(script)
Ethiopia,2018-19,sample,,script:.map(dict),saq14,RURAL,str,3115,(script logic),script-path,(script)
Ethiopia,2021-22,cluster_features,df_main,inline_dict,saq14,URBAN,str,2674,Urban,exact-or-str-match,"['saq14', {'mapping': {'RURAL': 'Rural', 'Rural': 'Rural', 'rural': 'Rural', '1. RURAL': 'Rural', 'URBAN': 'Urban', 'Urban': 'Urban', 'urban': 'Urban', '2. URBAN': 'Urban'}}]"
Ethiopia,2021-22,cluster_features,df_main,inline_dict,saq14,RURAL,str,2285,Rural,exact-or-str-match,"['saq14', {'mapping': {'RURAL': 'Rural', 'Rural': 'Rural', 'rural': 'Rural', '1. RURAL': 'Rural', 'URBAN': 'Urban', 'Urban': 'Urban', 'urban': 'Urban', '2. URBAN': 'Urban'}}]"
Ethiopia,2021-22,sample,,script:.map(dict),saq14,URBAN,str,2674,(script logic),script-path,(script)
Ethiopia,2021-22,sample,,script:.map(dict),saq14,RURAL,str,2285,(script logic),script-path,(script)
GhanaLSS,1991-92,cluster_features,,auto_function,loc2,2.0,float,2945,(wave mapping.py def Rural),auto-bound formatting function,'loc2'
GhanaLSS,1991-92,cluster_features,,auto_function,loc2,1.0,float,1578,(wave mapping.py def Rural),auto-bound formatting function,'loc2'
GhanaLSS,1991-92,sample,,auto_function,loc2,2.0,float,2945,(wave mapping.py def Rural),auto-bound formatting function,'loc2'
GhanaLSS,1991-92,sample,,auto_function,loc2,1.0,float,1578,(wave mapping.py def Rural),auto-bound formatting function,'loc2'
GhanaLSS,1998-99,cluster_features,,auto_function,loc2,2.0,float,3799,(wave mapping.py def Rural),auto-bound formatting function,'loc2'
