country,feature,wave,tier,coverage,n_rows,detail
Ethiopia,food_quantities,2015-16,sane,declared,67158,all checks pass
Ethiopia,food_quantities,2018-19,sane,declared,98800,all checks pass
Ethiopia,food_quantities,2021-22,sane,declared,84538,all checks pass
Ethiopia,food_security,2011-12,absent,absent,,source not declared for wave
Ethiopia,food_security,2013-14,absent,absent,,source not declared for wave
Ethiopia,food_security,2015-16,absent,absent,,source not declared for wave
Ethiopia,food_security,2018-19,absent,absent,,source not declared for wave
Ethiopia,food_security,2021-22,sane,declared,4958,warn: index_levels_match_scheme
Ethiopia,household_characteristics,2011-12,sane,declared,3629,all checks pass
Ethiopia,household_characteristics,2013-14,sane,declared,5232,all checks pass
Ethiopia,household_characteristics,2015-16,sane,declared,4953,all checks pass
Ethiopia,household_characteristics,2018-19,dropped,declared,,declared for wave but absent from built t-index
Ethiopia,household_characteristics,2021-22,dropped,declared,,declared for wave but absent from built t-index
Ethiopia,household_roster,2011-12,builds,declared,18771,"fail: no_all_null_columns; warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,household_roster,2013-14,builds,declared,25968,"fail: no_all_null_columns; warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,household_roster,2015-16,builds,declared,26760,"fail: no_all_null_columns; warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,household_roster,2018-19,builds,declared,29503,"fail: no_all_null_columns; warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,household_roster,2021-22,builds,declared,25374,"fail: no_all_null_columns; warn: index_levels_match_scheme,no_constant_columns"
Ethiopia,housing,2011-12,sane,declared,3912,warn: index_levels_match_scheme
Ethiopia,housing,2013-14,sane,declared,5261,warn: index_levels_match_scheme
Ethiopia,housing,2015-16,sane,declared,4954,warn: index_levels_match_scheme
Ethiopia,housing,2018-19,sane,declared,6770,warn: index_levels_match_scheme
Ethiopia,housing,2021-22,sane,declared,4958,warn: index_levels_match_scheme
Ethiopia,individual_education,2011-12,sane,declared,8008,warn: index_levels_match_scheme
Ethiopia,individual_education,2013-14,sane,declared,8505,warn: index_levels_match_scheme
Ethiopia,individual_education,2015-16,sane,declared,12633,"warn: index_levels_match_scheme,no_null_index_levels"
Ethiopia,individual_education,2018-19,sane,declared,16027,warn: index_levels_match_scheme
Ethiopia,individual_education,2021-22,sane,declared,13886,warn: index_levels_match_scheme
Ethiopia,interview_date,2011-12,absent,absent,,source not declared for wave
Ethiopia,interview_date,2013-14,absent,absent,,source not declared for wave
Ethiopia,interview_date,2015-16,absent,absent,,source not declared for wave
Ethiopia,interview_date,2018-19,sane,declared,6762,warn: index_levels_match_scheme
Ethiopia,interview_date,2021-22,sane,declared,1474,warn: index_levels_match_scheme
Ethiopia,livestock,2011-12,sane,declared,7566,all checks pass
Ethiopia,livestock,2013-14,sane,declared,8601,all checks pass
Ethiopia,livestock,2015-16,sane,declared,9239,all checks pass
