country,u,kg_per_unit
Malawi,wrapped in paper,0.14012738853503184
Nigeria,kg,1.0
Nigeria,kilogram,1.0
Nigeria,kilogramme,1.0
Nigeria,kgs,1.0
Nigeria,kilograms,1.0
Nigeria,kilogrammes,1.0
Nigeria,kilo,1.0
Nigeria,kilos,1.0
Nigeria,g,0.001
Nigeria,gram,0.001
Nigeria,gramm,0.001
Nigeria,grams,0.001
Nigeria,gramme,0.001
Nigeria,grammes,0.001
Nigeria,gm,0.001
Nigeria,gms,0.001
Nigeria,milligram,1e-06
Nigeria,l,1.0
Nigeria,litre,1.0
Nigeria,liter,1.0
Nigeria,litres,1.0
Nigeria,liters,1.0
Nigeria,ml,0.001
Nigeria,cl,0.01
Nigeria,millilitre,0.001
Nigeria,milliliter,0.001
Nigeria,millilitres,0.001
Nigeria,milliliters,0.001
Nigeria,mili liter,0.001
Nigeria,pound,0.453592
Nigeria,lbs,0.453592
Nigeria,65.0,0.0052
Nigeria,basin,5.262295186004452
Nigeria,basin big/large,6.175
Nigeria,basin medium,2.8000000000000003
Nigeria,basket,1.724799990653992
Nigeria,basket big,0.6666666666666667
Nigeria,bottle/can,2.5874999819013027
Nigeria,metric cup,0.21299999621179333
Nigeria,none,0.08571428571428572
Nigeria,packet,0.796000003814696
Nigeria,sachet,0.10387256056291899
Nigeria,sack/bag,24.418333185215758
Nigeria,shot,0.13772590132098975
Nigeria,slice,0.20823528627732768
Nigeria,spoon,0.01495373975574486
Nigeria,table spoon,0.027967876500571993
Nigeria,tea spoon,0.06666666666666667
Nigeria,tuber,0.9535284871523351
Nigeria,wheelbarrow,2.154904639469448
Nigeria,whole animal,4.455000042915348
Nigeria,wrap,0.08284313576535873
Nigeria,yam tuber big/large,1.0785671641791046
Nigeria,bin/basket,0.44999999999999996
Nigeria,cigarette cup,0.12000000327825569
Nigeria,congo,0.8400000062584877
Nigeria,kobiowu,0.64
Nigeria,large bowl,0.49193548387096775
Nigeria,large bunch,0.23809523809523808
Nigeria,large congo,0.4
Nigeria,large derica,0.32
Nigeria,large heap,0.19480519480519481
Nigeria,large kobiowu,1.4410110307546204
Nigeria,large mudu,0.40625
Nigeria,large packet/sachet,0.1094017094017094
Nigeria,large piece,0.2673186750428327
Nigeria,large stalk,0.9571428571428571
Nigeria,large tiya,0.5769230769230769
Nigeria,medium bowl,0.2631578947368421
Nigeria,medium bunch,0.1535897435897436
Nigeria,medium derica,0.1826086956521739
Nigeria,medium heap,0.14814814814814814
Nigeria,medium kobiowu,0.946113782051282
Nigeria,medium packet/sachet,0.03999999970197676
Nigeria,medium piece,0.15
Nigeria,medium stalk,0.7522580680924078
Nigeria,medium tiya,0.4916666666666667
Nigeria,milk cup,0.10703677510608203
Nigeria,mudu,0.44999999999999996
Nigeria,olodo,0.12500000372529038
Nigeria,other specify,0.1
Nigeria,other specify (151),0.08
Nigeria,other specify (152),2.0
Nigeria,paint rubber,0.6555059523809523
Nigeria,piece,0.09701636244159477
Nigeria,small bowl,0.15492307692307694
Nigeria,small bunch,0.100000000372529
Nigeria,small congo,0.2960833333333333
Nigeria,small derica,0.07092555331991951
Nigeria,small heap,0.1
Nigeria,small kobiowu,0.652545486954735
Nigeria,small mudu,0.2843910256410256
Nigeria,small packet/sachet,0.029999999999999995
Nigeria,small piece,0.06875
Nigeria,small stalk,0.7085253456221199
Nigeria,small tiya,0.31339285714285714
Nigeria,tin,1.60000002384186
Nigeria,very large derica,0.25
Ethiopia,kg,1.0
Ethiopia,kilogram,1.0
Ethiopia,kilogramme,1.0
Ethiopia,kgs,1.0
Ethiopia,kilograms,1.0
Ethiopia,kilogrammes,1.0
Ethiopia,kilo,1.0
Ethiopia,kilos,1.0
Ethiopia,g,0.001
Ethiopia,gram,0.001
Ethiopia,gramm,0.001
Ethiopia,grams,0.001
Ethiopia,gramme,0.001
Ethiopia,grammes,0.001
Ethiopia,gm,0.001
Ethiopia,gms,0.001
Ethiopia,milligram,1e-06
Ethiopia,l,1.0
Ethiopia,litre,1.0
Ethiopia,liter,1.0
Ethiopia,litres,1.0
Ethiopia,liters,1.0
