country,u,kg_per_unit
Nigeria,slice,0.3231958757436511
Nigeria,spoon,0.08956236412704645
Nigeria,table spoon,0.11187150600228797
Nigeria,tea spoon,0.06666666666666667
Nigeria,tuber,1.9301248518932381
Nigeria,wheelbarrow,2.154904639469448
Nigeria,whole animal,4.457142693655834
Nigeria,wrap,0.1503559811157298
Nigeria,yam tuber big/large,1.3928571428571428
Nigeria,bin/basket,0.96
Nigeria,cigarette cup,0.5727272727272728
Nigeria,congo,1.5
Nigeria,kobiowu,1.1681818181818182
Nigeria,large bowl,0.7159090909090908
Nigeria,large bunch,0.4
Nigeria,large congo,0.5664335664335665
Nigeria,large derica,0.6666666666666666
Nigeria,large heap,0.28
Nigeria,large kobiowu,0.7228218694885362
Nigeria,large mudu,0.7142857142857143
Nigeria,large packet/sachet,0.2
Nigeria,large piece,0.5
Nigeria,large stalk,1.026315789473684
Nigeria,large tiya,1.2
Nigeria,medium bowl,0.375
Nigeria,medium bunch,0.24085140192778137
Nigeria,medium derica,0.4
Nigeria,medium heap,0.23076923076923078
Nigeria,medium kobiowu,0.3861764705882353
Nigeria,medium packet/sachet,0.16666666666666666
Nigeria,medium piece,0.37916665971279084
Nigeria,medium stalk,0.8991379310344828
Nigeria,medium tiya,0.9375
Nigeria,milk cup,0.29644957983193276
Nigeria,mudu,1.25
Nigeria,olodo,0.6
Nigeria,other specify,0.1809090909090909
Nigeria,other specify (151),0.08
Nigeria,other specify (152),2.0
Nigeria,paint rubber,0.8395804228595644
Nigeria,piece,0.5454545454545454
Nigeria,small bowl,0.2
Nigeria,small bunch,0.15789473684210525
Nigeria,small congo,0.5233644859813085
Nigeria,small derica,0.13625
Nigeria,small heap,0.14893617021276598
Nigeria,small kobiowu,1.1065073917258128
Nigeria,small mudu,0.5520833333333334
Nigeria,small packet/sachet,0.11875
Nigeria,small piece,0.2
Nigeria,small stalk,0.7085253456221199
Nigeria,small tiya,0.3414285714285714
Nigeria,tin,2.91170390752783
Nigeria,very large derica,0.42857142857142855
Ethiopia,kg,1.0
Ethiopia,kilogram,1.0
Ethiopia,kilogramme,1.0
Ethiopia,g,0.001
Ethiopia,gram,0.001
Ethiopia,gramm,0.001
Ethiopia,l,1.0
Ethiopia,litre,1.0
Ethiopia,liter,1.0
Ethiopia,ml,0.001
Ethiopia,cl,0.01
Ethiopia,pound,0.453592
Ethiopia,lbs,0.453592
Ethiopia,araba,2.125
Ethiopia,birchiko large,0.875
Ethiopia,birchiko medium,0.7142857142857143
Ethiopia,birchiko small,0.4444444444444444
Ethiopia,box,0.8275862068965517
Ethiopia,box/casa,13.263157894736842
Ethiopia,bunch large,0.625
Ethiopia,bunch medium,0.825
Ethiopia,bunch small,1.61
Ethiopia,chinet small,4.285714285714286
Ethiopia,cm,0.75
Ethiopia,cubic centimeter,1.7840909090909092
Ethiopia,cup,0.5
Ethiopia,esir large,0.6622807017543859
Ethiopia,esir medium,0.6
Ethiopia,esir small,0.5
Ethiopia,festal large,2.361111111111111
Ethiopia,festal medium,1.8
Ethiopia,festal small,1.1111111111111112
Ethiopia,jenbe,2.2175
Ethiopia,jog,1.1538461538461537
Ethiopia,joniya/kasha small,3.0
Ethiopia,kerchat/kemba large,0.9285714285714286
Ethiopia,kerchat/kemba medium,2.0999999999999996
Ethiopia,kerchat/kemba small,1.8968253968253967
Ethiopia,kubaya/cup large,0.875
Ethiopia,kubaya/cup medium,0.7352941176470589
Ethiopia,kubaya/cup small,0.5
Ethiopia,kunna/mishe/kefer/enkib large,3.64
Ethiopia,kunna/mishe/kefer/enkib medium,2.653958944281525
Ethiopia,kunna/mishe/kefer/enkib small,2.381818181818182
Ethiopia,litres,1.8333333333333333
Ethiopia,madaberia/nuse/shera/cheret medium,0.4166666666666667
Ethiopia,madaberia/nuse/shera/cheret small,24.0
Ethiopia,medeb large,0.5555555555555556
Ethiopia,medeb medium,0.46511627906976744
Ethiopia,medeb small,0.3333333333333333
Ethiopia,melekia,0.75
Ethiopia,melekiya,0.6
Ethiopia,mili liter,1.0645833333333332
Ethiopia,number,1.0
Ethiopia,other (specify),0.8163265306122449
Ethiopia,other(specify),1.75
Ethiopia,pack,0.3
Ethiopia,pair,1.333951922661948
Ethiopia,piece/number large,0.9
Ethiopia,piece/number medium,1.0277777777777777
Ethiopia,piece/number small,0.8
Ethiopia,quintal,1.6058368495077355
Ethiopia,roll,3.09757225433526
Ethiopia,sahin large,1.0791666666666666
Ethiopia,sahin medium,1.1742424242424243
Ethiopia,sahin small,0.9230769230769231
Ethiopia,shekim,3.8
Ethiopia,shekim large,0.7755319148936171
Ethiopia,shekim medium,0.75
Ethiopia,shekim small,1.0112612612612613
Ethiopia,sini large,0.3
Ethiopia,sini small,0.280625
Ethiopia,tasa/tanika/shember/selemon large,1.6666666666666667
Ethiopia,tasa/tanika/shember/selemon medium,1.1
Ethiopia,tasa/tanika/shember/selemon small,0.7142857142857143
Ethiopia,tuba,0.9583333333333334
Ethiopia,whole animal (poultary),16.0
Ethiopia,whole animal (sheep),46.0
Ethiopia,zorba/akara large,6.0
Ethiopia,zorba/akara medium,7.2727272727272725
Ethiopia,zorba/akara small,5.0
Tanzania,kg,1.0
Tanzania,kilogram,1.0
Tanzania,kilogramme,1.0
Tanzania,g,0.001
Tanzania,gram,0.001
Tanzania,gramm,0.001
Tanzania,l,1.0
Tanzania,litre,1.0
Tanzania,liter,1.0
Tanzania,ml,0.001
Tanzania,cl,0.01
Tanzania,pound,0.453592
Tanzania,lbs,0.453592
Tanzania,piece,0.8492857142857142
Niger,kg,1.0
Niger,kilogram,1.0
Niger,kilogramme,1.0
Niger,g,0.001
Niger,gram,0.001
Niger,gramm,0.001
Niger,l,1.0
Niger,litre,1.0
Niger,liter,1.0
Niger,ml,0.001
Niger,cl,0.01
Niger,pound,0.453592
Niger,lbs,0.453592
Niger,sac (25 kg),25.0
Niger,sac (100 kg),100.0
Niger,sac (50 kg),50.0
Niger,alvéole,2.0
Niger,avec os au kg,2.0833333333333335
Niger,avec os au tas,1.25
Niger,bidon,1.0909090909090908
Niger,boule,0.6833333333333333
